,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
146,constitucion,-35.3333,-72.4167,283.75,73,97,1.37,CL,1624159037
147,bulawayo,-20.15,28.5833,281.91,94,13,5.35,ZW,1624159038
148,port blair,11.6667,92.75,304.17,79,40,5.14,IN,1624159038
149,wawa,9.9022,4.4192,296.48,88,100,3.11,NG,1624159039
150,clyde river,70.4692,-68.5914,274.28,100,90,1.54,CA,1624159040
151,muravlenko,63.7898,74.523,284.14,68,94,6.77,RU,1624159040
152,ismailia,30.6043,32.2723,292.41,69,0,2.7,EG,1624159041
153,fortuna,40.5982,-124.1573,291.44,76,20,0.45,US,1624159041
154,shimoda,34.6667,138.95,297.65,89,100,3.41,JP,1624158792
155,tuatapere,-46.1333,167.6833,280.83,76,3,0.97,NZ,1624159042
156,hatillo,18.4863,-66.8254,300.87,89,88,6.73,PR,1624159042
157,manggar,-2.8833,108.2667,302.63,66,93,3.01,ID,1624159043
158,evensk,61.95,159.2333,284.35,65,88,1.53,RU,1624158967
159,tura,25.5198,90.2201,296.38,94,99,2.97,IN,1624159044
160,bubaque,11.2833,-15.8333,299.3,78,96,7.41,GW,1624159045
161,buritis,-15.6178,-46.4233,292.72,61,7,1.59,BR,1624159045
162,sangre grande,10.5835,-61.1177,299.92,91,12,3.84,TT,1624159046
163,upernavik,72.7868,-56.1549,275.33,73,43,4.26,GL,1624159046
164,port alfred,-33.5906,26.891,292.08,42,7,5.21,ZA,1624159047
165,tipitapa,12.1973,-86.0971,301.16,78,40,3.09,NI,1624159048
166,ankpa,7.3706,7.6253,295.33,98,100,2.7,NG,1624159048
167,east london,-33.0153,27.9116,293.67,37,0,4.12,ZA,1624159049
168,ignacio zaragoza,28.3833,-107.2167,294.48,20,22,4.37,MX,1624159049
169,birjand,32.8663,59.2211,298.41,16,0,2.06,IR,1624159050
170,santa maria,-29.6842,-53.8069,284.9,97,95,1.11,BR,1624159050
171,charters towers,-20.1,146.2667,293.41,30,12,3.82,AU,1624159050
172,quatre cocos,-20.2078,57.7625,295.21,62,82,8.24,MU,1624159051
173,dikson,73.5069,80.5464,273.55,80,79,3.97,RU,1624159051
174,grand-lahou,5.1367,-5.0242,297.89,90,98,4.49,CI,1624159053
175,noumea,-22.2763,166.4572,298.71,99,100,6.93,NC,1624159012
176,saint-philippe,-21.3585,55.7679,292.71,73,68,6.15,RE,1624159054
177,severo-kurilsk,50.6789,156.125,279.92,88,100,1.57,RU,1624159055
178,maningrida,-12.0667,134.2667,301.74,41,25,4.8,AU,1624159056
179,te anau,-45.4167,167.7167,280.53,69,9,1.35,NZ,1624159056
180,pokhara,28.2333,83.9833,294.53,95,100,0.93,NP,1624159057
181,alice springs,-23.7,133.8833,288.9,44,14,4.12,AU,1624158963
182,palmer,42.1584,-72.3287,296.87,74,75,3.09,US,1624159058
183,narsaq,60.9167,-46.05,282.27,75,100,0.63,GL,1624159058
184,isangel,-19.55,169.2667,299.88,74,95,4.37,VU,1624159059
185,foz do iguacu,-25.5478,-54.5881,285.79,100,90,3.09,BR,1624159059
186,kodinsk,58.6881,99.1844,293.45,65,80,1.25,RU,1624159060
187,bilibino,68.0546,166.4372,287.67,49,100,2.88,RU,1624159060
188,shashi,30.3072,112.2447,298.21,62,95,1.84,CN,1624159061
189,ucluelet,48.9329,-125.5528,295.4,86,74,0.45,CA,1624159061
190,chumikan,54.7183,135.315,290.16,46,100,0.2,RU,1624159062
191,yellowknife,62.456,-114.3525,286.44,44,40,5.14,CA,1624159062
192,hobyo,5.3505,48.5268,297.87,79,7,9.98,SO,1624159062
193,beroroha,-21.6667,45.1667,290.2,79,0,2.26,MG,1624159063
194,flinders,-34.5833,150.8552,288.82,77,88,3.58,AU,1624159064
195,aklavik,68.2191,-135.0107,299.61,26,52,4.42,CA,1624159064
196,lebu,-37.6167,-73.65,281.58,80,76,1.51,CL,1624159050
197,bjerkvik,68.5597,17.5189,282.15,80,100,1.05,NO,1624159066
198,guerrero negro,27.9769,-114.0611,290.85,87,0,8.0,MX,1624159067
199,vieira de leiria,39.8695,-8.9324,288.71,96,75,5.14,PT,1624159067
200,khandbari,27.3747,87.2039,295.89,89,99,0.24,NP,1624159068
201,qasigiannguit,68.8193,-51.1922,277.29,73,32,0.63,GL,1624159068
202,paamiut,61.994,-49.6678,278.16,95,100,2.68,GL,1624159070
203,lubango,-14.9172,13.4925,283.87,41,21,2.21,AO,1624159021
204,kondagaon,19.6,81.6667,300.12,66,96,5.09,IN,1624158970
205,cherusti,55.5498,40.0107,291.71,81,0,1.45,RU,1624159071
206,mpulungu,-8.7623,31.1141,291.45,69,1,4.46,ZM,1624159071
207,san pedro,14.35,121.0167,305.01,68,75,7.2,PH,1624159072
208,hithadhoo,-0.6,73.0833,301.78,69,72,5.81,MV,1624159072
209,palmerston,-12.486,130.9833,300.87,34,0,4.63,AU,1624159064
210,kabalo,-6.05,26.9167,294.07,51,14,2.29,CD,1624159074
211,dehloran,32.6941,47.2679,305.56,12,0,0.64,IR,1624159074
212,santiago,-33.4569,-70.6483,285.29,53,100,0.51,CL,1624158843
213,gambela,8.25,34.5833,293.83,97,100,1.81,ET,1624159075
214,kandrian,-6.2167,149.55,300.75,78,98,4.82,PG,1624159076
215,saint anthony,45.0205,-93.218,295.16,57,1,0.0,US,1624159077
216,toamasina,-18.1667,49.3833,294.34,82,62,3.27,MG,1624159077
217,kosa,59.9445,54.9977,285.06,54,2,5.44,RU,1624159077
218,kaeo,-35.1,173.7833,290.55,81,16,7.35,NZ,1624159078
219,pitea,65.3172,21.4794,283.2,97,100,0.88,SE,1624159078
220,castro,-24.7911,-50.0119,285.83,96,98,3.43,BR,1624159079
221,kenai,60.5544,-151.2583,290.94,71,90,2.57,US,1624159079
222,deputatskiy,69.3,139.9,298.79,23,41,5.64,RU,1624159080
223,bowen,-20.0167,148.2333,293.46,40,45,2.71,AU,1624159080
224,provideniya,64.3833,-173.3,287.88,46,20,1.08,RU,1624159082
225,avera,33.194,-82.5271,296.88,96,100,4.48,US,1624159082
226,nioro,13.35,-15.75,298.37,66,50,3.01,GM,1624159083
227,faanui,-16.4833,-151.75,300.24,77,18,6.05,PF,1624159083
228,helong,42.5397,128.9972,291.35,70,94,1.26,CN,1624159084
229,kathmandu,27.7167,85.3167,297.27,83,75,2.57,NP,1624158442
230,viedma,-40.8135,-62.9967,277.47,86,43,4.29,AR,1624159085
231,panlaitan,12.1191,119.8486,302.43,75,99,5.64,PH,1624159085
232,den helder,52.9599,4.7593,289.25,95,75,5.81,NL,1624159071
233,nushki,29.5542,66.0215,304.47,8,0,3.68,PK,1624159086
234,caborca,30.5838,-111.101,307.31,20,3,9.69,MX,1624159086
235,zelenoborsk,61.4669,64.0333,281.04,58,100,8.73,RU,1624159087
236,honningsvag,70.9821,25.9704,279.8,87,100,1.25,NO,1624159087
237,gravdal,68.1214,13.5031,281.17,83,100,4.54,NO,1624159088
238,luanda,-8.8368,13.2343,295.16,85,48,3.81,AO,1624159088
239,muros,42.7762,-9.0603,288.2,91,100,6.63,ES,1624159057
240,kozuchow,51.7456,15.5949,295.69,84,100,2.59,PL,1624159089
241,hambantota,6.1241,81.1185,302.48,64,50,7.53,LK,1624159089
242,port angeles,48.1181,-123.4307,293.36,87,1,7.72,US,1624159090
243,tymovskoye,50.8456,142.655,298.06,30,0,1.7,RU,1624159090
244,emmett,43.8735,-116.4993,306.09,23,0,0.89,US,1624159091
245,mumford,5.2618,-0.759,298.63,84,96,4.05,GH,1624159091
246,passo de camaragibe,-9.2368,-35.4901,295.9,93,97,2.44,BR,1624159092
247,namibe,-15.1961,12.1522,293.06,67,9,4.37,AO,1624159080
248,troy,42.6056,-83.1499,294.08,99,1,0.0,US,1624159009
249,bogovarovo,58.9785,47.0246,292.22,66,9,1.82,RU,1624159094
250,vanimo,-2.6741,141.3028,302.76,64,51,2.66,PG,1624159095
251,carlisle,40.2015,-77.1889,294.83,89,76,0.81,US,1624159065
252,grindavik,63.8424,-22.4338,279.12,81,40,6.17,IS,1624159096
253,gongzhuling,43.5008,124.8198,292.24,70,95,2.26,CN,1624159096
254,martapura,-3.4167,114.85,300.2,83,40,4.12,ID,1624159097
255,nauta,-4.5061,-73.5757,295.48,99,91,1.21,PE,1624159097
256,shubarkuduk,49.1447,56.4872,295.47,45,0,3.03,KZ,1624159097
257,tiarei,-17.5333,-149.3333,301.16,82,89,5.76,PF,1624159098
258,manono,-7.3,27.4167,294.33,45,26,3.75,CD,1624159098
259,lorengau,-2.0226,147.2712,302.34,69,29,2.96,PG,1624159099
260,labuhan,-6.8844,112.2051,302.22,67,54,2.17,ID,1624159099
261,saint-augustin,51.226,-58.6502,283.71,86,100,2.49,CA,1624159100
262,kouango,4.9934,19.9619,293.83,96,79,1.88,CF,1624159101
263,senneterre,48.3835,-77.2328,287.27,91,99,1.28,CA,1624159101
264,sungaipenuh,-2.0833,101.3833,297.37,52,99,1.62,ID,1624159102
265,port augusta,-32.5,137.7667,290.21,42,0,0.98,AU,1624159102
266,bredasdorp,-34.5322,20.0403,282.77,76,15,1.03,ZA,1624159103
267,pinega,64.7001,43.3936,285.02,66,100,1.98,RU,1624159103
